time	position_x	position_y
2023-12-27T17:32:27.607Z	500.17952076758843	499.88639282767537
2023-12-27T17:32:27.707Z	497.06274229730786	498.30048862171645
2023-12-27T17:32:27.808Z	485.9854352061257	494.58510958423204
2023-12-27T17:32:27.909Z	464.81760046195353	487.5089785755018
2023-12-27T17:32:28.009Z	428.4950694661106	475.6614539499644
2023-12-27T17:32:28.110Z	375.2736192153038	463.1930529299012
2023-12-27T17:32:28.211Z	313.8368975466336	443.8090193008696
2023-12-27T17:32:28.312Z	233.48877326598432	419.7609932713036
2023-12-27T17:32:28.412Z	174.44865787159668	409.26376520459195
2023-12-27T17:32:28.513Z	126.31933992141093	401.8685782282431
2023-12-27T17:32:28.614Z	89.98760561298111	397.2259368241071
2023-12-27T17:32:28.715Z	64.43914750243862	394.78351689943605
2023-12-27T17:32:28.815Z	47.93939656737669	393.9978951579723
2023-12-27T17:32:28.915Z	42.55617824341692	385.3995223595343
2023-12-27T17:32:29.016Z	38.553138992062834	391.09431289950186
2023-12-27T17:32:29.117Z	41.916840304805476	394.4746644972418
2023-12-27T17:32:29.217Z	47.552803159421494	397.93256646366837
2023-12-27T17:32:29.318Z	54.680467714801296	401.3201320725511
2023-12-27T17:32:29.419Z	62.65411382042841	404.52718856983194
2023-12-27T17:32:29.519Z	70.95132563758514	407.47604838461905
2023-12-27T17:32:29.620Z	79.16361093390944	410.1172064858249
2023-12-27T17:32:29.721Z	86.98635456701751	412.42510586168254
2023-12-27T17:32:29.822Z	94.20703157436427	414.39376325890095
2023-12-27T17:32:29.923Z	100.69189107269388	416.03239101356144
2023-12-27T17:32:30.024Z	110.29034338230726	408.218365995369
2023-12-27T17:32:30.125Z	118.48307306565039	401.48262609594025
2023-12-27T17:32:30.226Z	108.57189868736236	387.96738811255375
2023-12-27T17:32:30.326Z	99.87991987594926	376.6382104956507
2023-12-27T17:32:30.427Z	92.43484881213814	367.37467997012783
2023-12-27T17:32:30.528Z	86.20668311838502	360.00468413455053
2023-12-27T17:32:30.629Z	81.12439519917469	354.32533719276813
2023-12-27T17:32:30.730Z	77.08977363264427	350.11945816086984
2023-12-27T17:32:30.831Z	73.98861482363282	347.1681440023129
2023-12-27T17:32:30.931Z	71.69953836174649	345.2600097241483
2023-12-27T17:32:31.032Z	70.10072613160169	344.1976457470226
2023-12-27T17:32:31.133Z	69.07488435735348	343.8017972372842
2023-12-27T17:32:31.234Z	68.51271275856821	343.91371601075497
2023-12-27T17:32:31.335Z	68.31514330434828	344.3960805956337
2023-12-27T17:32:31.435Z	68.39458643612755	345.13282712620037
2023-12-27T17:32:31.536Z	68.67539686269393	346.0281839028625
2023-12-27T17:32:31.637Z	69.0937450042079	347.00515594873866
2023-12-27T17:32:32.684Z	164.34084599309531	315.28826523091783
2023-12-27T17:32:33.607Z	100.95472080345661	408.5838324514716
2023-12-27T17:32:33.714Z	357.25074486164294	345.4104282983916
2023-12-27T17:32:33.817Z	496.83357752954186	228.02499821523992
2023-12-27T17:32:33.924Z	384.8928119262094	93.47910370671866
2023-12-27T17:32:34.034Z	162.46778502354795	90.32989216389188
2023-12-27T17:32:34.135Z	28.624084415530447	187.43091424606166
2023-12-27T17:32:34.245Z	7.820939141119428	307.7555478173406
2023-12-27T17:32:34.350Z	164.2856557638397	199.68613858259863
2023-12-27T17:32:34.462Z	562.1268193825007	302.2952397126582
2023-12-27T17:32:34.567Z	387.15473387382366	482.40961234742434
2023-12-27T17:32:34.671Z	351.8423424017625	434.2497599041001
2023-12-27T17:32:34.785Z	272.371331852722	296.5101203483023
2023-12-27T17:32:34.886Z	216.72595304498643	334.6849327034763
2023-12-27T17:32:34.991Z	655.3935776110934	262.03657053234434
2023-12-27T17:32:35.095Z	855.6104114501286	248.9541545328767
2023-12-27T17:32:35.203Z	1007.666978702387	154.04317232219287
2023-12-27T17:32:35.315Z	1171.4982708174032	163.5962215200564
2023-12-27T17:32:35.423Z	1100.2355729574247	182.63601992217164
2023-12-27T17:32:35.531Z	1188.8715979026813	163.76461694187682
2023-12-27T17:32:35.636Z	1402.9128515656055	93.20567902307471
2023-12-27T17:32:35.743Z	1408.9564184911574	114.80243406956424
2023-12-27T17:32:35.853Z	1314.711363321598	130.45662789774678
2023-12-27T17:32:35.962Z	1202.4082203099929	469.5352292178804
2023-12-27T17:32:36.069Z	1301.865824408362	433.35019903716875
2023-12-27T17:32:36.180Z	1294.1393323318734	287.219030735568
2023-12-27T17:32:36.288Z	1293.364396259479	276.45353213412443
2023-12-27T17:32:36.395Z	1190.7343812973975	313.16474373755534
2023-12-27T17:32:36.503Z	1231.067750093444	460.7830178212688
2023-12-27T17:32:36.614Z	1250.6236449110227	500.13735139322426
2023-12-27T17:32:36.721Z	1221.449052042205	568.5924453719803
2023-12-27T17:32:36.828Z	1211.047938609477	585.7780990926592
2023-12-27T17:32:36.936Z	1222.8964856383172	588.6052949441663
2023-12-27T17:32:37.042Z	1074.1286461360883	653.8199283520787
2023-12-27T17:32:37.149Z	636.0094052024427	655.6484419136102
2023-12-27T17:32:37.256Z	409.5205133658538	623.183823849334
2023-12-27T17:32:37.364Z	167.53311733304187	650.7693046666056
2023-12-27T17:32:37.471Z	189.35846796630034	528.0363102749852
2023-12-27T17:32:37.580Z	141.43367245877107	567.6895703530515
2023-12-27T17:32:37.686Z	76.4852945943834	655.5794224771095
2023-12-27T17:32:37.794Z	201.0354982976111	670.0597191121972
2023-12-27T17:32:37.901Z	594.8023649400171	657.8127980902805
2023-12-27T17:32:38.010Z	494.7883439868029	766.8527532070076
