time	position_x	position_y	scroll_x	scroll_y
2024-01-10T11:38:03.175Z	500.1006351452522	498.39284723352847	500.1006351452522	498.39284723352847
2024-01-10T11:38:03.669Z	493.42883850292554	492.29900297120196	493.42883850292554	492.29900297120196
2024-01-10T11:38:03.785Z	420.1860602783344	380.206048446055	420.1860602783344	380.206048446055
2024-01-10T11:38:03.896Z	277.14273752711654	286.7774986933579	277.14273752711654	286.7774986933579
2024-01-10T11:38:04.020Z	209.6760573970737	161.18022420187552	209.6760573970737	161.18022420187552
2024-01-10T11:38:04.131Z	194.32485279343334	112.5110918782433	194.32485279343334	112.5110918782433
2024-01-10T11:38:04.257Z	371.91028969192337	194.20040689500186	371.91028969192337	194.20040689500186
2024-01-10T11:38:04.378Z	192.71640130370923	172.6732023036772	192.71640130370923	172.6732023036772
2024-01-10T11:38:04.492Z	100.34280181583199	174.98577763855107	100.34280181583199	174.98577763855107
2024-01-10T11:38:04.611Z	80.34691300369677	105.44490728669105	80.34691300369677	105.44490728669105
2024-01-10T11:38:04.745Z	236.33237408075317	103.06573549339957	236.33237408075317	103.06573549339957
2024-01-10T11:38:04.855Z	188.44009924836604	140.9279318343373	188.44009924836604	140.9279318343373
2024-01-10T11:38:04.973Z	37.08664948571938	181.78530819602042	37.08664948571938	181.78530819602042
2024-01-10T11:38:05.093Z	104.93452107431642	246.1149592755604	104.93452107431642	246.1149592755604
2024-01-10T11:38:05.223Z	99.94576097715543	262.42528722091816	99.94576097715543	262.42528722091816
2024-01-10T11:38:05.338Z	63.657476600714	268.77817142815	63.657476600714	268.77817142815
2024-01-10T11:38:05.456Z	121.59172706269554	270.73180100908536	121.59172706269554	270.73180100908536
2024-01-10T11:38:05.573Z	164.88934564315784	216.27978501608706	164.88934564315784	216.27978501608706
2024-01-10T11:38:05.693Z	313.70301616811696	273.5962408707946	313.70301616811696	273.5962408707946
2024-01-10T11:38:05.825Z	371.81472044341797	343.66467755827836	371.81472044341797	343.66467755827836
2024-01-10T11:38:05.941Z	353.99992142324635	377.4463407120471	353.99992142324635	377.4463407120471
2024-01-10T11:38:06.058Z	282.7732767853974	451.02982955300195	282.7732767853974	451.02982955300195
2024-01-10T11:38:06.173Z	271.5282193289267	317.9390497483607	271.5282193289267	317.9390497483607
2024-01-10T11:38:06.292Z	569.6076637012194	841.4608090380862	569.6076637012194	841.4608090380862
2024-01-10T11:38:06.423Z	751.09030163203	1043.7876316985435	751.09030163203	1058.7876316985435
2024-01-10T11:38:06.543Z	672.414036438909	697.3928510904117	672.414036438909	727.3928510904117
2024-01-10T11:38:06.665Z	692.7383334787727	447.0995634218906	692.7383334787727	477.0995634218906
2024-01-10T11:38:06.781Z	828.2514645212558	296.77113763360325	828.2514645212558	326.77113763360325
2024-01-10T11:38:06.898Z	906.4419117116131	378.10779374476493	906.4419117116131	408.10779374476493
2024-01-10T11:38:07.016Z	940.563067966795	454.38739166704755	940.563067966795	484.38739166704755
2024-01-10T11:38:07.131Z	1015.2908352877462	576.1377335345641	1015.2908352877462	606.1377335345641
2024-01-10T11:38:07.259Z	956.6131257164936	556.3471826288605	956.6131257164936	586.3471826288605
2024-01-10T11:38:07.374Z	962.7273081373129	582.3643990926842	962.7273081373129	612.3643990926842
2024-01-10T11:38:07.495Z	1026.9994981315929	591.110327845989	1026.9994981315929	621.110327845989
2024-01-10T11:38:07.624Z	953.4817662450196	545.2029990456883	953.4817662450196	575.2029990456883
2024-01-10T11:38:07.737Z	844.3222269229494	614.3453062713916	844.3222269229494	644.3453062713916
2024-01-10T11:38:07.856Z	867.6029258775372	588.0352735100889	867.6029258775372	618.0352735100889
2024-01-10T11:38:07.971Z	883.1850619412849	573.1891603627852	883.1850619412849	603.1891603627852
2024-01-10T11:38:08.093Z	859.1254025476306	489.07381351339137	859.1254025476306	519.0738135133913
2024-01-10T11:38:08.222Z	810.815312189538	536.8643695422287	810.815312189538	566.8643695422287
2024-01-10T11:38:08.337Z	835.054887652442	693.8563005458825	835.054887652442	723.8563005458825
2024-01-10T11:38:08.458Z	981.6810989399144	709.3586567923255	981.6810989399144	739.3586567923255
2024-01-10T11:38:08.571Z	958.2238313637204	683.4153101269405	958.2238313637204	713.4153101269405
2024-01-10T11:38:08.703Z	860.2570455887893	538.6393674457281	860.2570455887893	568.6393674457281
2024-01-10T11:38:08.822Z	775.395109595648	499.37141914628495	775.395109595648	529.371419146285
2024-01-10T11:38:08.939Z	785.2056645431823	557.1587142016303	785.2056645431823	587.1587142016303
2024-01-10T11:38:09.055Z	759.3758839562657	616.6358140281521	759.3758839562657	646.6358140281521
2024-01-10T11:38:09.173Z	810.2612208948857	567.9424033838084	810.2612208948857	597.9424033838084
2024-01-10T11:38:09.291Z	938.9405762182788	572.3240996665111	938.9405762182788	602.3240996665111
2024-01-10T11:38:09.423Z	913.2294044790931	617.0804354727309	913.2294044790931	647.0804354727309
2024-01-10T11:38:09.536Z	843.4388974092346	578.3053892867782	843.4388974092346	608.3053892867782
2024-01-10T11:38:09.655Z	780.4352565429651	594.300823425152	780.4352565429651	624.300823425152
2024-01-10T11:38:09.771Z	815.6349968278308	604.5341514215855	815.6349968278308	634.5341514215855
2024-01-10T11:38:09.904Z	858.6829149398615	538.1028479481323	858.6829149398615	568.1028479481323
2024-01-10T11:38:10.020Z	754.1452819613786	591.4362974264612	754.1452819613786	621.4362974264612
2024-01-10T11:38:10.134Z	751.8696087328956	637.3364261426735	751.8696087328956	667.3364261426735
2024-01-10T11:38:10.255Z	728.8529483306767	585.317765905261	728.8529483306767	615.317765905261
